nom,description,cycle_croissance_jours,rendement_attendu,zone_culture_recommandee,type_sol_prefere,irrigation
Laitue,Variété de maïs sucrée et tendre.,141,8,Nord,Limoneux,381.8
Palmier dattier,Graminée résistante à la sécheresse.,950,14,Est,Sablonneux,959.54
Sorgho fourrager,Graminée résistante à la sécheresse.,151,4,Zone sèche,Limoneux,877.7
Cannelle,Haricot de petite taille riche en fibres.,765,7,Sud,Sablonneux,704.82
Thym,Légumineuse riche en protéines.,14,9,Est,Sablonneux,118.58
Quinoa,,703,3,Zone sèche,Argileux,415.83
Gingembre,Céréale d'été riche en fibres.,870,4,Nord,Argileux,892.99
Lentilles,Légumineuse riche en protéines.,781,3,Nord,Argileux,792.56
Betterave sucrière,Variété de maïs sucrée et tendre.,882,2,Ouest,Sablonneux,851.63
Piment vert,Culture aquatique à grains essentiels.,37,14,Est,Argileux,715.55
Champignon pleurote,Lentille pour les clim,410,9,Nord,Sablonneux,475.25
Canneberge,Riche en vitamines,498,16,Est,Limoneux,270.9
Myrtille,Haricot de petite taille riche en fibres.,47,17,Sud,Sablonneux,778.7
Banane plantain,,81,10,Zone sèche,Limoneux,86.11
Radis,Céréale d'été riche en fibres.,15,18,Ouest,Limoneux,69.48
Manguier,Culture aquatique à grains essentiels.,530,6,Ouest,Sablonneux,304.27
Papyrus,Culture céréalière riche en amidon.,623,9,Est,Limoneux,391.63
Palmier dattier,Culture céréalière riche en amidon.,776,5,Est,Argileux,308.5
Kumquat,Céréale d'été riche en fibres.,349,6,Ouest,Sablonneux,726.36
Soja,Légumineuse riche en protéines.,136,13,Zone sèche,Limoneux,514.16
Noyer,,192,14,Nord,Limoneux,397.89
Pois chiche,Variété de maïs sucrée et tendre.,625,16,Sud,Sablonneux,171.32
Canistel,Riche en vitamines,248,1,Sud,Sablonneux,22.77
Haricot mungo,Céréale d'été riche en fibres.,614,7,Est,Argileux,266.08
Pommes de terre,Graminée résistante à la sécheresse.,893,5,Sud,Limoneux,648.18
Pak choï,,645,1,Est,Argileux,99.72
Camomille,,649,6,Ouest,Argileux,36.91
Coco,Variété de maïs sucrée et tendre.,553,7,Zone sèche,Limoneux,778.56
Avoine de printemps,Fruit,817,2,Sud,Argileux,987.67
Colza,Céréale d'été riche en fibres.,193,3,Sud,Limoneux,996.1
Avoine nue,Graminée résistante à la sécheresse.,46,15,Zone sèche,Argileux,801.6
Canneberge,Haricot de petite taille riche en fibres.,425,5,Ouest,Argileux,807.45
Grenadier,Céréale d'été riche en fibres.,108,3,Nord,Sablonneux,1000.02
Aubergine,Légumineuse riche en protéines.,359,15,Sud,Limoneux,691.67
Luzerne,Culture céréalière riche en amidon.,212,6,Ouest,Sablonneux,245.47
Châtaignier,Légume,791,10,Nord,Limoneux,103.02
Betterave sucrière,Céréale d'été riche en fibres.,631,7,Est,Limoneux,655.02
Noix de cajou,Fruit,664,5,Sud,Limoneux,510.42
Sarrasin,Légumineuse riche en protéines.,982,10,Nord,Limoneux,997.46
Lavande,Céréale d'été riche en fibres.,261,5,Ouest,Sablonneux,997.63
Sesame,Culture aquatique à grains essentiels.,636,20,Ouest,Argileux,449.32
Framboise,Légume,968,3,Zone sèche,Argileux,623.29
Chou-fleur,Culture céréalière riche en amidon.,696,13,Zone sèche,Argileux,649.79
Blé tendre,Culture aquatique à grains essentiels.,346,14,Ouest,Argileux,670.93
Théier,,973,14,Est,Limoneux,631.13
Seigle,Fruit,395,3,Sud,Limoneux,482.06
Haricot mungo,Légumineuse riche en protéines.,207,8,Nord,Limoneux,586.56
Safran,Légumineuse riche en protéines.,638,6,Ouest,Limoneux,985.99
Baobab,Graminée résistante à la sécheresse.,76,7,Est,Limoneux,583.85
Chou rouge,Riche en vitamines,604,1,Ouest,Sablonneux,326.9
Colza,Fruit,91,4,Ouest,Limoneux,775.3
Pêcher,Lentille pour les clim,55,20,Sud,Limoneux,550.84
Brocoli,Lentille pour les clim,884,4,Sud,Sablonneux,299.79
Pois,Haricot de petite taille riche en fibres.,644,12,Sud,Argileux,24.48
Kumquat,Céréale d'été riche en fibres.,378,14,Est,Limoneux,933.48
Poirier,Culture céréalière riche en amidon.,578,14,Est,Limoneux,87.62
Tournesol,Lentille pour les clim,46,15,Ouest,Limoneux,419.53
Amandier,Fruit,412,2,Est,Argileux,4.14
Artichaut,Lentille pour les clim,281,16,Nord,Sablonneux,86.87
Tournesol,Céréale d'été riche en fibres.,842,12,Sud,Argileux,77.15
Nectarine,Variété de maïs sucrée et tendre.,696,9,Nord,Sablonneux,230.76
Sorgho grain,Culture aquatique à grains essentiels.,487,7,Ouest,Sablonneux,974.43
Fraise,Lentille pour les clim,283,14,Est,Sablonneux,347.8
Ail,Riche en vitamines,913,13,Sud,Sablonneux,691.3
Carottes,,64,7,Ouest,Argileux,67.89
Millet,Légumineuse riche en protéines.,857,20,Est,Argileux,88.97
Noisetier,Lentille pour les clim,293,8,Ouest,Limoneux,222.26
Fèves,Riche en vitamines,478,11,Est,Limoneux,824.38
Lentilles,Graminée résistante à la sécheresse.,582,3,Ouest,Limoneux,798.6
Papaye,Culture céréalière riche en amidon.,854,15,Ouest,Limoneux,639.1
Pommes de terre,Variété de maïs sucrée et tendre.,716,1,Nord,Sablonneux,435.95
Curcuma,Légumineuse riche en protéines.,30,10,Ouest,Limoneux,311.24
Champignon shiitake,Variété de maïs sucrée et tendre.,641,14,Nord,Limoneux,950.02
Framboise,Graminée résistante à la sécheresse.,337,11,Zone sèche,Sablonneux,732.23
Chou frisé,Culture céréalière riche en amidon.,127,8,Nord,Sablonneux,518.96
Canne à sucre,Fruit,671,15,Sud,Sablonneux,169.95
Ananas,Graminée résistante à la sécheresse.,156,5,Ouest,Limoneux,733.91
Tamarin,Légumineuse riche en protéines.,172,6,Est,Limoneux,90.31
Acacia,Haricot de petite taille riche en fibres.,682,2,Zone sèche,Limoneux,436.15
Litchi,Légumineuse riche en protéines.,264,13,Sud,Argileux,611.58
Anis étoilé,Lentille pour les clim,376,11,Est,Sablonneux,125.65
Pommes de terre,Haricot de petite taille riche en fibres.,746,18,Sud,Sablonneux,362.96
Jujubier,Riche en vitamines,925,6,Ouest,Sablonneux,647.52
Avoine nue,Variété de maïs sucrée et tendre.,696,18,Est,Sablonneux,889.72
Poirier,Haricot de petite taille riche en fibres.,491,12,Zone sèche,Argileux,943.56
Céleri,Graminée résistante à la sécheresse.,59,12,Est,Sablonneux,683.44
Concombre,Culture aquatique à grains essentiels.,750,13,Sud,Argileux,582.5
Bambou,Lentille pour les clim,519,15,Sud,Limoneux,605.62
Myrtille,Culture aquatique à grains essentiels.,752,5,Zone sèche,Limoneux,662.62
Vesce,Céréale d'été riche en fibres.,1000,12,Sud,Limoneux,177.36
Myrtille,Haricot de petite taille riche en fibres.,421,15,Zone sèche,Sablonneux,438.14
Carottes,Culture céréalière riche en amidon.,609,19,Ouest,Limoneux,682.54
Tomates,Culture céréalière riche en amidon.,681,3,Sud,Argileux,509.1
Pak choï,Lentille pour les clim,549,16,Zone sèche,Sablonneux,871.91
Kiwi,Légumineuse riche en protéines.,87,2,Sud,Argileux,841.68
Tomates,Culture céréalière riche en amidon.,659,9,Nord,Sablonneux,495.01
Haricot mungo,Culture aquatique à grains essentiels.,772,4,Zone sèche,Limoneux,325.84
Chou rouge,Culture céréalière riche en amidon.,11,16,Sud,Argileux,727.92
Millet,Légume,855,1,Zone sèche,Limoneux,857.02
Bette à carde,Culture aquatique à grains essentiels.,683,14,Zone sèche,Limoneux,23.95
Abricotier,Riche en vitamines,469,7,Sud,Sablonneux,165.13
Tamarin,Céréale d'été riche en fibres.,863,1,Sud,Limoneux,266.62
Pêcher,Lentille pour les clim,735,2,Ouest,Sablonneux,801.54
Carottes,Légumineuse riche en protéines.,383,10,Sud,Limoneux,304.61
Chou frisé,Lentille pour les clim,291,10,Est,Limoneux,724.65
Laitue,Culture céréalière riche en amidon.,596,19,Zone sèche,Argileux,748.84
Camomille,Légume,975,19,Est,Limoneux,155.32
Tomates,Céréale d'été riche en fibres.,914,20,Ouest,Sablonneux,585.78
Mûre,Légumineuse riche en protéines.,836,18,Zone sèche,Limoneux,298.73
Jujubier,Haricot de petite taille riche en fibres.,937,19,Sud,Limoneux,349.31
Banane plantain,Légume,201,15,Zone sèche,Sablonneux,803.69
Piment vert,Fruit,515,17,Ouest,Argileux,56.23
Caféier,Céréale d'été riche en fibres.,185,15,Sud,Limoneux,33.18
Caféier,Variété de maïs sucrée et tendre.,596,15,Nord,Limoneux,24.85
Poivron rouge,Céréale d'été riche en fibres.,650,4,Sud,Limoneux,231.62
Cannelle,Céréale d'été riche en fibres.,1000,18,Est,Sablonneux,896.43
Fèves,Graminée résistante à la sécheresse.,790,3,Zone sèche,Sablonneux,730.94
Haricot mungo,Culture aquatique à grains essentiels.,803,6,Nord,Limoneux,756.08
Ail,Variété de maïs sucrée et tendre.,69,16,Nord,Argileux,319.98
Tomates,Haricot de petite taille riche en fibres.,355,5,Nord,Sablonneux,993.37
Kumquat,Fruit,204,17,Zone sèche,Sablonneux,965.88
Cannelle,Céréale d'été riche en fibres.,272,6,Est,Limoneux,194.74
Piment vert,Culture aquatique à grains essentiels.,382,1,Sud,Limoneux,291.7
Poivron rouge,Variété de maïs sucrée et tendre.,103,15,Est,Limoneux,862.3
Grenadier,Graminée résistante à la sécheresse.,51,10,Zone sèche,Argileux,638.97
Tomates,Céréale d'été riche en fibres.,546,8,Ouest,Argileux,489.11
Prunier,Culture aquatique à grains essentiels.,389,17,Est,Limoneux,209.81
Châtaignier,Fruit,991,1,Nord,Sablonneux,199.49
Palmier dattier,Graminée résistante à la sécheresse.,866,14,Nord,Sablonneux,131.61
Aubergine,Culture aquatique à grains essentiels.,847,5,Est,Sablonneux,870.99
Lavande,Céréale d'été riche en fibres.,810,3,Est,Argileux,323.44
Épinard,Légumineuse riche en protéines.,758,16,Zone sèche,Argileux,3.65
Pistachier,Riche en vitamines,840,9,Zone sèche,Limoneux,815.55
Champignon shiitake,Variété de maïs sucrée et tendre.,482,9,Zone sèche,Limoneux,178.81
Artichaut,Haricot de petite taille riche en fibres.,329,6,Ouest,Sablonneux,852.3
Canneberge,,516,14,Sud,Limoneux,615.46
Soja,Lentille pour les clim,178,8,Est,Limoneux,255.67
Carottes,Graminée résistante à la sécheresse.,204,5,Zone sèche,Limoneux,477.85
Carottes,Lentille pour les clim,529,1,Sud,Limoneux,19.93
Sorgho grain,Culture céréalière riche en amidon.,689,19,Ouest,Sablonneux,678.63
Pêcher,Riche en vitamines,848,19,Sud,Limoneux,313.68
Melon d'eau,Légume,977,1,Nord,Argileux,490.9
Abricotier,Haricot de petite taille riche en fibres.,779,1,Est,Argileux,636.62
Jujubier,Légumineuse riche en protéines.,705,16,Nord,Sablonneux,557.23
Muscade,Haricot de petite taille riche en fibres.,26,8,Est,Sablonneux,446.74
Carottes,Variété de maïs sucrée et tendre.,88,10,Nord,Argileux,231.11
Colza oléagineux,Variété de maïs sucrée et tendre.,754,1,Est,Limoneux,476.73
Piment vert,Légumineuse riche en protéines.,93,10,Nord,Sablonneux,517.6
Chou cavalier,,632,9,Zone sèche,Sablonneux,436.08
Soja,Graminée résistante à la sécheresse.,383,1,Sud,Sablonneux,449.76
Amandier,Légumineuse riche en protéines.,239,17,Zone sèche,Limoneux,702.58
Pommier,Légume,231,15,Sud,Sablonneux,139.66
Manioc,Variété de maïs sucrée et tendre.,793,20,Sud,Sablonneux,97.27
Avoine de printemps,,729,15,Est,Limoneux,338.48
Noyer,Graminée résistante à la sécheresse.,381,12,Zone sèche,Sablonneux,637.79
Manioc,Graminée résistante à la sécheresse.,388,1,Sud,Limoneux,681.37
Quinoa,Légume,426,5,Sud,Argileux,831.93
Millet,Fruit,535,14,Zone sèche,Sablonneux,680.98
Laitue,Haricot de petite taille riche en fibres.,430,12,Sud,Sablonneux,209.45
Blé tendre,Lentille pour les clim,574,5,Est,Argileux,757.72
Pois chiche,Légumineuse riche en protéines.,839,19,Nord,Sablonneux,625.93
Amandier,Céréale d'été riche en fibres.,882,9,Zone sèche,Argileux,919.32
Canistel,Graminée résistante à la sécheresse.,102,4,Sud,Sablonneux,295.77
Concombre,Fruit,589,19,Est,Argileux,580.01
Coco,Culture céréalière riche en amidon.,262,7,Est,Argileux,749.54
Lentilles,Graminée résistante à la sécheresse.,865,19,Est,Sablonneux,870.1
Manguier,Culture céréalière riche en amidon.,278,15,Sud,Sablonneux,464.02
Baobab,Culture céréalière riche en amidon.,305,4,Est,Limoneux,125.35
Fraise,Haricot de petite taille riche en fibres.,249,1,Zone sèche,Argileux,423.57
Fraise,,693,5,Est,Sablonneux,486.85
Poireaux,Riche en vitamines,847,6,Zone sèche,Limoneux,795.87
Safran,Lentille pour les clim,51,20,Zone sèche,Argileux,453.56
Baobab,Riche en vitamines,650,18,Nord,Argileux,388.41
Chou-fleur,Céréale d'été riche en fibres.,819,10,Nord,Sablonneux,499.17
Ananas,Culture céréalière riche en amidon.,133,18,Nord,Sablonneux,1.32
Bambou,Lentille pour les clim,277,1,Zone sèche,Sablonneux,88.93
Sarrasin,Haricot de petite taille riche en fibres.,465,8,Ouest,Sablonneux,81.87
Lentilles,Graminée résistante à la sécheresse.,314,6,Sud,Limoneux,543.82
Aubergine,Légume,283,11,Est,Argileux,406.05
Baobab,Haricot de petite taille riche en fibres.,845,1,Zone sèche,Sablonneux,932.26
Olives,Légumineuse riche en protéines.,4,7,Nord,Argileux,572.19
Canne à sucre,Culture aquatique à grains essentiels.,522,12,Sud,Argileux,332.96
Muscade,Riche en vitamines,519,19,Zone sèche,Limoneux,757.85
Trèfle,Légumineuse riche en protéines.,749,18,Zone sèche,Argileux,855.67
Banane plantain,Graminée résistante à la sécheresse.,691,8,Ouest,Limoneux,230.71
Menthe,Légumineuse riche en protéines.,899,19,Est,Limoneux,729.22
Palmier dattier,,58,4,Nord,Argileux,255.72
Basilic,Variété de maïs sucrée et tendre.,607,10,Sud,Sablonneux,665.45
Seigle,Lentille pour les clim,903,10,Zone sèche,Limoneux,980.26
Cerisier,,87,17,Zone sèche,Sablonneux,814.94
Nectarine,Culture céréalière riche en amidon.,289,8,Est,Sablonneux,123.73
Menthe,Riche en vitamines,782,7,Nord,Sablonneux,709.68
Kumquat,Riche en vitamines,450,3,Ouest,Limoneux,368.12
Arachide,,806,7,Ouest,Argileux,629.97
Persil,Lentille pour les clim,346,13,Zone sèche,Limoneux,647.38
Blé tendre,,696,17,Est,Sablonneux,135.49
Basilic,Légume,222,5,Sud,Limoneux,246.3
Manguier,Légume,526,5,Zone sèche,Limoneux,294.4
Bette à carde,Légumineuse riche en protéines.,281,4,Nord,Argileux,497.59
Pois chiche,,549,15,Ouest,Argileux,861.74
Laitue,Fruit,624,16,Zone sèche,Sablonneux,590.63
Blé tendre,Riche en vitamines,542,1,Nord,Argileux,750.01
Blé dur,Lentille pour les clim,654,14,Sud,Sablonneux,375.33
Sesame,Riche en vitamines,894,8,Ouest,Sablonneux,639.11
Arachide,Riche en vitamines,735,4,Sud,Limoneux,43.5
Épinard,Haricot de petite taille riche en fibres.,158,8,Ouest,Argileux,104.79
Fèves,Fruit,49,14,Zone sèche,Limoneux,914.94
Cacao,Légume,250,16,Nord,Sablonneux,614.72
Coco,Culture céréalière riche en amidon.,876,9,Nord,Sablonneux,7.71
Avoine de printemps,Céréale d'été riche en fibres.,707,13,Zone sèche,Argileux,858.57
Avoine nue,Légume,22,10,Zone sèche,Argileux,38.35
Trèfle,Culture aquatique à grains essentiels.,514,4,Zone sèche,Sablonneux,426.94
Kumquat,,846,14,Ouest,Limoneux,411.7
Kumquat,Légumineuse riche en protéines.,55,14,Nord,Limoneux,129.84
Haricot mungo,Légumineuse riche en protéines.,825,11,Ouest,Argileux,379.58
Cacao,Culture céréalière riche en amidon.,222,2,Ouest,Limoneux,265.87
Luzerne,Céréale d'été riche en fibres.,356,3,Zone sèche,Limoneux,956.63
Pommier,Variété de maïs sucrée et tendre.,680,4,Ouest,Argileux,884.94
Fèves,Fruit,76,5,Zone sèche,Sablonneux,185.94
Pommes de terre,,513,4,Sud,Limoneux,984.67
Litchi,Graminée résistante à la sécheresse.,143,9,Zone sèche,Limoneux,907.55
Coton,Culture aquatique à grains essentiels.,944,6,Sud,Limoneux,451.89
Noix de cajou,Culture aquatique à grains essentiels.,235,10,Ouest,Sablonneux,822.6
Kiwi,Culture aquatique à grains essentiels.,830,20,Sud,Argileux,584.39
Noyer,Fruit,590,16,Est,Argileux,510.61
Poivron rouge,Légumineuse riche en protéines.,950,9,Nord,Limoneux,690.21
Chou-fleur,Haricot de petite taille riche en fibres.,743,16,Zone sèche,Limoneux,372.73
Baies de goji,Haricot de petite taille riche en fibres.,543,11,Nord,Sablonneux,450.42
Trèfle,Riche en vitamines,589,16,Est,Limoneux,644.94
Pois,Haricot de petite taille riche en fibres.,612,15,Ouest,Sablonneux,244.27
Thym,Graminée résistante à la sécheresse.,34,7,Zone sèche,Sablonneux,350.73
Anis étoilé,Haricot de petite taille riche en fibres.,260,16,Zone sèche,Argileux,258.23
Kumquat,Culture aquatique à grains essentiels.,25,14,Ouest,Argileux,605.74
Manguier,Céréale d'été riche en fibres.,190,16,Zone sèche,Sablonneux,404.28
Carottes,Haricot de petite taille riche en fibres.,627,19,Est,Sablonneux,281.09
Aubergine,Haricot de petite taille riche en fibres.,361,10,Est,Limoneux,823.94
Sorgho fourrager,Culture aquatique à grains essentiels.,431,8,Sud,Argileux,876.31
Céleri,Lentille pour les clim,538,18,Zone sèche,Limoneux,915.05
Ciboulette,Graminée résistante à la sécheresse.,186,19,Zone sèche,Sablonneux,178.83
Manioc,Haricot de petite taille riche en fibres.,34,8,Est,Sablonneux,170.4
Ail,Légume,255,3,Est,Limoneux,761.9
Seigle,Céréale d'été riche en fibres.,625,11,Sud,Argileux,8.73
Sesame,Culture aquatique à grains essentiels.,612,12,Est,Limoneux,430.41
Quinoa,Riche en vitamines,255,5,Sud,Limoneux,568.16
Manioc,Riche en vitamines,305,8,Ouest,Argileux,619.4
Nectarine,Culture céréalière riche en amidon.,943,11,Est,Argileux,747.94
Orge de printemps,Légume,153,15,Ouest,Sablonneux,231.26
Blé dur,Culture aquatique à grains essentiels.,250,3,Ouest,Sablonneux,859.67
Pommes de terre,Légume,579,9,Ouest,Limoneux,954.35
Brocoli,,602,12,Ouest,Sablonneux,143.79
Manguier,Culture aquatique à grains essentiels.,355,9,Nord,Argileux,742.07
Trèfle,Culture céréalière riche en amidon.,835,5,Sud,Argileux,525.69
Gingembre,Graminée résistante à la sécheresse.,499,20,Est,Argileux,549.92
Persil,Culture céréalière riche en amidon.,162,16,Zone sèche,Argileux,412.89
Sorgho fourrager,,431,2,Ouest,Sablonneux,123.29
Abricotier,Fruit,781,1,Zone sèche,Sablonneux,929.06
Lin oléagineux,Variété de maïs sucrée et tendre.,637,3,Est,Argileux,473.1
Colza,Fruit,993,13,Est,Argileux,56.46
Pistachier,Graminée résistante à la sécheresse.,490,1,Nord,Argileux,737.87
Sorgho grain,Culture aquatique à grains essentiels.,928,5,Nord,Sablonneux,90.44
Tamarin,Légumineuse riche en protéines.,148,3,Ouest,Argileux,877.07
Artichaut,Lentille pour les clim,409,18,Nord,Limoneux,461.44
Coton,,946,11,Zone sèche,Limoneux,710.21
Artichaut,Graminée résistante à la sécheresse.,870,8,Nord,Argileux,548.25
Coton,Culture céréalière riche en amidon.,862,3,Zone sèche,Argileux,664.2
Bette à carde,Légume,64,11,Est,Sablonneux,751.2
Fèves,Légume,858,18,Zone sèche,Sablonneux,929.49
Épinard,Fruit,191,1,Sud,Argileux,105.09
Bette à carde,Légume,668,17,Ouest,Limoneux,895.72
Coton,Céréale d'été riche en fibres.,270,16,Ouest,Argileux,83.5
Sarrasin,Riche en vitamines,310,7,Est,Sablonneux,441.78
Sesame,Légumineuse riche en protéines.,118,15,Ouest,Sablonneux,299.32
Palmier dattier,Riche en vitamines,350,2,Est,Limoneux,514.4
Artichaut,Culture céréalière riche en amidon.,255,10,Sud,Sablonneux,359.32
Chou rouge,,218,16,Zone sèche,Limoneux,482.55
Origan,Lentille pour les clim,885,6,Sud,Sablonneux,378.91
Pois,Graminée résistante à la sécheresse.,404,6,Zone sèche,Sablonneux,107.27
Poirier,Haricot de petite taille riche en fibres.,575,4,Zone sèche,Sablonneux,546.09
Rhubarbe,Lentille pour les clim,770,10,Nord,Sablonneux,80.47
Mûre,,980,11,Sud,Argileux,200.88
Melon d'eau,Culture aquatique à grains essentiels.,514,10,Ouest,Limoneux,645.41
Caféier,Fruit,446,6,Nord,Limoneux,653.88
Grenadier,Lentille pour les clim,123,11,Zone sèche,Sablonneux,593.37
Radis,Graminée résistante à la sécheresse.,740,4,Est,Argileux,325.78
Anis étoilé,Variété de maïs sucrée et tendre.,962,16,Zone sèche,Limoneux,32.77
Gingembre,Variété de maïs sucrée et tendre.,922,14,Sud,Limoneux,242.59
Maïs sucré,Haricot de petite taille riche en fibres.,241,16,Est,Limoneux,600.36
Noix de cajou,Céréale d'été riche en fibres.,80,17,Ouest,Limoneux,53.17
Muscade,,82,3,Sud,Argileux,448.76
Colza,Lentille pour les clim,492,6,Est,Limoneux,475.46
Baobab,Culture céréalière riche en amidon.,148,6,Sud,Limoneux,9.85
Litchi,Haricot de petite taille riche en fibres.,621,10,Ouest,Limoneux,872.67
Fèves,Variété de maïs sucrée et tendre.,32,2,Zone sèche,Limoneux,746.54
Sorgho fourrager,,145,7,Est,Sablonneux,241.84
Kumquat,Graminée résistante à la sécheresse.,930,16,Zone sèche,Limoneux,13.06
Palmier dattier,Légumineuse riche en protéines.,2,18,Ouest,Sablonneux,352.24
Colza,Fruit,827,17,Ouest,Argileux,500.67
Jujubier,,583,16,Nord,Argileux,289.2
Mûre,,953,13,Sud,Argileux,919.33
Bambou,Légumineuse riche en protéines.,23,3,Est,Limoneux,217.93
Caféier,Variété de maïs sucrée et tendre.,308,6,Nord,Sablonneux,241.1
Maïs sucré,Céréale d'été riche en fibres.,15,2,Zone sèche,Argileux,700.37
Camomille,Céréale d'été riche en fibres.,47,18,Zone sèche,Limoneux,751.04
Laitue,Culture céréalière riche en amidon.,50,4,Est,Argileux,300.62
Champignon pleurote,Céréale d'été riche en fibres.,241,6,Zone sèche,Sablonneux,790.82
Brocoli,Légume,784,4,Est,Argileux,298.91
Radis,Graminée résistante à la sécheresse.,621,6,Sud,Argileux,42.63
Curcuma,Riche en vitamines,962,18,Ouest,Sablonneux,100.53
Millet,Haricot de petite taille riche en fibres.,730,7,Nord,Limoneux,680.77
Radis,Fruit,645,11,Zone sèche,Limoneux,1.31
Seigle,Variété de maïs sucrée et tendre.,362,2,Ouest,Sablonneux,221.51
Champignon pleurote,Légumineuse riche en protéines.,966,20,Est,Argileux,624.03
Fèves,Culture aquatique à grains essentiels.,892,18,Sud,Argileux,328.81
Origan,Fruit,226,11,Nord,Limoneux,251.04
Basilic,Graminée résistante à la sécheresse.,952,17,Est,Limoneux,694.94
Champignon shiitake,Céréale d'été riche en fibres.,172,18,Ouest,Sablonneux,735.21
Chou frisé,Fruit,953,4,Est,Limoneux,780.6
Betterave sucrière,Graminée résistante à la sécheresse.,193,7,Est,Argileux,358.98
Anis étoilé,Haricot de petite taille riche en fibres.,928,16,Est,Sablonneux,598.15
Colza,Haricot de petite taille riche en fibres.,236,4,Ouest,Argileux,232.99
Soja,Légumineuse riche en protéines.,549,9,Ouest,Sablonneux,691.35
Rhubarbe,Culture aquatique à grains essentiels.,886,9,Nord,Argileux,162.99
Orge de printemps,Lentille pour les clim,945,19,Ouest,Argileux,476.21
Banane plantain,Haricot de petite taille riche en fibres.,813,7,Nord,Argileux,242.16
Litchi,Variété de maïs sucrée et tendre.,374,9,Nord,Argileux,84.77
Riz paddy,Légumineuse riche en protéines.,40,20,Est,Limoneux,654.93
Canneberge,,794,10,Est,Limoneux,637.25
Lentilles,Variété de maïs sucrée et tendre.,845,11,Nord,Sablonneux,838.02
Sorgho grain,Variété de maïs sucrée et tendre.,29,10,Sud,Sablonneux,497.74
Baies de goji,Variété de maïs sucrée et tendre.,627,16,Zone sèche,Argileux,852.46
Origan,Céréale d'été riche en fibres.,50,8,Ouest,Limoneux,562.2
Papaye,Culture céréalière riche en amidon.,422,13,Sud,Sablonneux,68.99
Avoine nue,Céréale d'été riche en fibres.,296,7,Sud,Limoneux,140.12
Poirier,Culture céréalière riche en amidon.,462,6,Est,Sablonneux,430.1
Riz paddy,Céréale d'été riche en fibres.,662,10,Sud,Limoneux,629.8
Cacao,Lentille pour les clim,419,9,Zone sèche,Argileux,242.67
Avoine nue,Culture céréalière riche en amidon.,960,19,Est,Sablonneux,619.99
Melon d'eau,Graminée résistante à la sécheresse.,155,15,Ouest,Sablonneux,101.66
Radis,Céréale d'été riche en fibres.,567,11,Nord,Argileux,867.82
Muscade,Céréale d'été riche en fibres.,450,12,Nord,Argileux,254.61
Colza,Légume,168,8,Est,Sablonneux,500.65
Millet,Haricot de petite taille riche en fibres.,156,1,Nord,Limoneux,76.62
Caféier,Légumineuse riche en protéines.,980,13,Nord,Argileux,518.04
Anis étoilé,Fruit,115,9,Nord,Sablonneux,756.03
Laitue,Légume,812,2,Ouest,Limoneux,857.47
Ananas,Variété de maïs sucrée et tendre.,197,15,Zone sèche,Limoneux,768.75
Persil,Légume,829,19,Est,Limoneux,793.39
Gingembre,Culture aquatique à grains essentiels.,105,15,Sud,Limoneux,897.68
Sorgho grain,Fruit,943,10,Nord,Sablonneux,1.76
Canneberge,Culture céréalière riche en amidon.,464,12,Ouest,Limoneux,526.33
Mizuna,Lentille pour les clim,615,14,Sud,Limoneux,196.12
Manguier,Haricot de petite taille riche en fibres.,726,6,Sud,Sablonneux,160.05
Sorgho fourrager,Céréale d'été riche en fibres.,323,18,Nord,Limoneux,275.83
Luzerne,Graminée résistante à la sécheresse.,117,20,Ouest,Argileux,722.81
Champignon pleurote,Légumineuse riche en protéines.,810,17,Sud,Sablonneux,478.71
Ail,Riche en vitamines,582,12,Ouest,Limoneux,425.08
Pois chiche,Lentille pour les clim,555,15,Zone sèche,Argileux,739.53
Radis,Lentille pour les clim,681,7,Est,Limoneux,951.75
Blé tendre,Culture céréalière riche en amidon.,956,10,Ouest,Argileux,929.14
Poireaux,Graminée résistante à la sécheresse.,657,6,Nord,Argileux,782.27
Radis,Légume,587,13,Est,Argileux,330.25
Brocoli,Variété de maïs sucrée et tendre.,453,16,Zone sèche,Argileux,310.11
Amandier,Graminée résistante à la sécheresse.,218,19,Sud,Limoneux,751.55
Myrtille,Légumineuse riche en protéines.,388,1,Sud,Sablonneux,706.52
Ananas,Céréale d'été riche en fibres.,23,4,Nord,Argileux,247.91
Millet,Riche en vitamines,837,3,Zone sèche,Sablonneux,27.81
Vanille,Lentille pour les clim,24,8,Zone sèche,Limoneux,461.57
Baies de goji,Haricot de petite taille riche en fibres.,197,8,Zone sèche,Limoneux,147.03
Chou-fleur,Riche en vitamines,13,5,Sud,Argileux,544.73
Canistel,Légume,854,2,Ouest,Argileux,447.41
Bambou,Légume,424,1,Zone sèche,Limoneux,611.34
Vanille,Céréale d'été riche en fibres.,148,6,Nord,Limoneux,661.11
Poivron rouge,,388,16,Nord,Sablonneux,586.92
Safran,Culture aquatique à grains essentiels.,579,3,Ouest,Limoneux,838.46
Chou-fleur,Céréale d'été riche en fibres.,31,17,Est,Sablonneux,692.24
Pistachier,Légume,663,1,Ouest,Argileux,209.57
Aubergine,Culture aquatique à grains essentiels.,623,6,Zone sèche,Argileux,525.42
Millet,Culture céréalière riche en amidon.,94,19,Nord,Argileux,934.98
Sesame,Graminée résistante à la sécheresse.,714,7,Ouest,Sablonneux,134.39
Papaye,Culture aquatique à grains essentiels.,681,10,Ouest,Limoneux,618.6
